都道府県,市区町村名,人数
北海道,札幌市中央区,9664
北海道,札幌市北区,14444
北海道,札幌市東区,11587
北海道,札幌市白石区,8404
北海道,札幌市豊平区,9829
北海道,札幌市南区,5658
北海道,札幌市西区,10097
北海道,札幌市厚別区,4897
北海道,札幌市手稲区,7103
北海道,札幌市清田区,5748
北海道,函館市,8835
北海道,小樽市,3550
北海道,旭川市,13572
北海道,室蘭市,2859
北海道,釧路市,5708
北海道,帯広市,6975
北海道,北見市,4683
北海道,夕張市,129
北海道,岩見沢市,3041
北海道,網走市,1316
北海道,留萌市,642
北海道,苫小牧市,8046
北海道,稚内市,1268
北海道,美唄市,551
北海道,芦別市,293
北海道,江別市,5842
北海道,赤平市,219
北海道,紋別市,705
北海道,士別市,559
北海道,名寄市,1098
北海道,三笠市,248
北海道,根室市,731
北海道,千歳市,5146
北海道,滝川市,1412
北海道,砂川市,536
北海道,歌志内市,－
北海道,深川市,670
北海道,富良野市,784
北海道,登別市,1784
北海道,恵庭市,3581
北海道,伊達市,1223
北海道,北広島市,2647
北海道,石狩市,2849
北海道,北斗市,1951
北海道,当別町,212
北海道,新篠津村,128
北海道,松前町,123
北海道,福島町,95
北海道,知内町,120
北海道,木古内町,81
北海道,七飯町,1236
北海道,鹿部町,115
北海道,森町,468
北海道,八雲町,552
北海道,長万部町,149
北海道,江差町,197
北海道,上ノ国町,147
北海道,厚沢部町,131
北海道,乙部町,87
北海道,奥尻町,70
北海道,今金町,176
北海道,せたな町,202
北海道,島牧村,48
北海道,寿都町,106
北海道,黒松内町,105
北海道,蘭越町,200
北海道,ニセコ町,286
北海道,真狩村,77
北海道,留寿都村,80
北海道,喜茂別町,62
北海道,京極町,109
北海道,倶知安町,755
北海道,共和町,233
北海道,岩内町,393
北海道,泊村,44
北海道,神恵内村,20
北海道,積丹町,56
北海道,古平町,82
北海道,仁木町,137
北海道,余市町,659
北海道,赤井川村,42
北海道,南幌町,336
北海道,奈井江町,179
北海道,上砂川町,68
北海道,由仁町,185
北海道,長沼町,446
北海道,栗山町,408
北海道,月形町,80
北海道,浦臼町,55
北海道,新十津川町,336
北海道,妹背牛町,71
北海道,秩父別町,100
北海道,雨竜町,84
北海道,北竜町,61
北海道,沼田町,98
北海道,鷹栖町,298
北海道,東神楽町,646
北海道,当麻町,272
北海道,比布町,－
北海道,愛別町,89
北海道,上川町,88
北海道,東川町,518
北海道,美瑛町,372
北海道,上富良野町,442
北海道,中富良野町,197
北海道,南富良野町,114
北海道,占冠村,30
北海道,和寒町,109
北海道,剣淵町,91
北海道,下川町,114
北海道,美深町,124
北海道,音威子府村,11
北海道,中川町,55
北海道,幌加内町,42
北海道,増毛町,118
北海道,小平町,105
北海道,苫前町,106
北海道,羽幌町,202
北海道,初山別村,44
北海道,遠別町,93
北海道,天塩町,106
北海道,猿払村,148
北海道,浜頓別町,121
北海道,中頓別町,54
北海道,枝幸町,259
北海道,豊富町,139
北海道,礼文町,80
北海道,利尻町,71
北海道,利尻富士町,85
北海道,幌延町,102
北海道,美幌町,671
北海道,津別町,153
北海道,斜里町,437
北海道,清里町,182
北海道,小清水町,216
北海道,訓子府町,224
北海道,置戸町,110
北海道,佐呂間町,149
北海道,遠軽町,712
北海道,湧別町,160
北海道,滝上町,73
北海道,興部町,178
北海道,西興部村,34
北海道,雄武町,159
北海道,大空町,295
北海道,豊浦町,189
北海道,壮瞥町,85
北海道,白老町,414
北海道,厚真町,219
北海道,洞爺湖町,258
北海道,安平町,111
北海道,むかわ町,277
北海道,日高町,431
北海道,平取町,215
北海道,新冠町,251
北海道,浦河町,422
北海道,様似町,137
北海道,えりも町,199
北海道,新ひだか町,887
北海道,音更町,2152
北海道,士幌町,260
北海道,上士幌町,216
北海道,鹿追町,277
北海道,新得町,211
北海道,清水町,349
北海道,芽室町,945
北海道,中札内村,197
北海道,更別村,146
北海道,大樹町,233
北海道,広尾町,226
北海道,幕別町,1257
北海道,池田町,190
北海道,豊頃町,104
北海道,本別町,219
北海道,足寄町,266
北海道,陸別町,68
北海道,浦幌町,163
北海道,釧路町,807
北海道,厚岸町,292
北海道,浜中町,241
北海道,標茶町,299
北海道,弟子屈町,217
北海道,鶴居村,116
北海道,白糠町,8
北海道,別海町,700
北海道,中標津町,1018
北海道,標津町,255
北海道,羅臼町,189
青森県,青森市,11363
青森県,弘前市,6959
青森県,八戸市,10083
青森県,黒石市,1242
青森県,五所川原市,1990
青森県,十和田市,2532
青森県,三沢市,1868
青森県,むつ市,2196
青森県,つがる市,1123
青森県,平川市,1338
青森県,平内町,349
青森県,今別町,38
青森県,蓬田村,107
青森県,外ヶ浜町,93
