市区町村名,人数
北海道札幌市中央区,9726.0
北海道札幌市北区,14474.0
北海道札幌市東区,11687.0
北海道札幌市白石区,8559.0
北海道札幌市豊平区,9735.0
北海道札幌市南区,5676.0
北海道札幌市西区,10043.0
北海道札幌市厚別区,5031.0
北海道札幌市手稲区,7175.0
北海道札幌市清田区,5994.0
北海道函館市,9225.0
北海道小樽市,3684.0
北海道旭川市,13985.0
北海道室蘭市,2993.0
北海道釧路市,6088.0
北海道帯広市,7221.0
北海道北見市,4830.0
北海道夕張市,147.0
北海道岩見沢市,3171.0
北海道網走市,1393.0
北海道留萌市,678.0
北海道苫小牧市,8315.0
北海道稚内市,1313.0
北海道美唄市,573.0
北海道芦別市,326.0
北海道江別市,5821.0
北海道赤平市,249.0
北海道紋別市,758.0
北海道士別市,603.0
北海道名寄市,1130.0
北海道三笠市,247.0
北海道根室市,833.0
北海道千歳市,5265.0
北海道滝川市,1497.0
北海道砂川市,531.0
北海道歌志内市,
北海道深川市,681.0
北海道富良野市,807.0
北海道登別市,1838.0
北海道恵庭市,3608.0
北海道伊達市,1290.0
北海道北広島市,2717.0
北海道石狩市,2860.0
北海道北斗市,2069.0
北海道当別町,215.0
北海道新篠津村,129.0
北海道松前町,137.0
北海道福島町,96.0
北海道知内町,131.0
北海道木古内町,92.0
北海道七飯町,1240.0
北海道鹿部町,125.0
北海道森町,516.0
北海道八雲町,587.0
北海道長万部町,163.0
北海道江差町,209.0
北海道上ノ国町,147.0
北海道厚沢部町,148.0
北海道乙部町,96.0
北海道奥尻町,68.0
北海道今金町,191.0
北海道せたな町,210.0
北海道島牧村,45.0
北海道寿都町,111.0
北海道黒松内町,123.0
北海道蘭越町,189.0
北海道ニセコ町,306.0
北海道真狩村,88.0
北海道留寿都村,82.0
北海道喜茂別町,63.0
北海道京極町,110.0
北海道倶知安町,813.0
北海道共和町,249.0
北海道岩内町,437.0
北海道泊村,47.0
北海道神恵内村,21.0
北海道積丹町,57.0
北海道古平町,77.0
北海道仁木町,125.0
北海道余市町,659.0
北海道赤井川村,51.0
北海道南幌町,307.0
北海道奈井江町,178.0
北海道上砂川町,73.0
