都道府県,市区町村,人数
北海道,101 札幌市中央区,"9,265"
北海道,102 札幌市北区,"14,470"
北海道,103 札幌市東区,"12,035"
北海道,104 札幌市白石区,"8,874"
北海道,105 札幌市豊平区,"9,616"
北海道,106 札幌市南区,"6,123"
北海道,107 札幌市西区,"9,970"
北海道,108 札幌市厚別区,"6,085"
北海道,109 札幌市手稲区,"7,122"
北海道,110 札幌市清田区,"6,716"
北海道,202 函館市,"11,864"
北海道,203 小樽市,"5,098"
北海道,204 旭川市,"16,818"
北海道,205 室蘭市,"4,152"
北海道,206 釧路市,"8,823"
北海道,207 帯広市,"8,253"
北海道,208 北見市,"5,862"
北海道,209 夕張市,242
北海道,210 岩見沢市,"4,015"
北海道,211 網走市,"1,945"
北海道,212 留萌市,"1,019"
北海道,213 苫小牧市,"9,429"
北海道,214 稚内市,"1,858"
北海道,215 美唄市,929
北海道,216 芦別市,531
北海道,217 江別市,"6,065"
北海道,218 赤平市,414
北海道,219 紋別市,"1,060"
北海道,220 士別市,969
北海道,221 名寄市,"1,464"
北海道,222 三笠市,318
北海道,223 根室市,"1,402"
北海道,224 千歳市,"5,560"
北海道,225 滝川市,"1,935"
北海道,226 砂川市,858
北海道,227 歌志内市,134
北海道,228 深川市,877
北海道,229 富良野市,"1,217"
北海道,230 登別市,"2,446"
北海道,231 恵庭市,"3,910"
北海道,233 伊達市,"1,746"
北海道,234 北広島市,"3,393"
北海道,235 石狩市,"3,472"
北海道,236 北斗市,"2,859"
北海道,303 当別町,813
北海道,304 新篠津村,162
北海道,331 松前町,282
北海道,332 福島町,160
北海道,333 知内町,235
北海道,334 木古内町,144
北海道,337 七飯町,"1,407"
北海道,343 鹿部町,181
北海道,345 森町,881
北海道,346 八雲町,868
北海道,347 長万部町,210
北海道,361 江差町,396
北海道,362 上ノ国町,249
北海道,363 厚沢部町,186
北海道,364 乙部町,201
北海道,367 奥尻町,123
北海道,370 今金町,247
北海道,371 せたな町,359
北海道,391 島牧村,62
北海道,392 寿都町,125
北海道,393 黒松内町,144
北海道,394 蘭越町,244
北海道,395 ニセコ町,219
北海道,396 真狩村,93
北海道,397 留寿都村,101
北海道,398 喜茂別町,102
北海道,399 京極町,170
北海道,400 倶知安町,841
北海道,401 共和町,297
北海道,402 岩内町,633
北海道,403 泊村,92
北海道,404 神恵内村,33
北海道,405 積丹町,84
北海道,406 古平町,98
北海道,407 仁木町,141
北海道,408 余市町,873
北海道,409 赤井川村,65
北海道,423 南幌町,327
北海道,424 奈井江町,253
北海道,425 上砂川町,124
北海道,427 由仁町,254
北海道,428 長沼町,499
北海道,429 栗山町,556
北海道,430 月形町,117
北海道,431 浦臼町,80
北海道,432 新十津川町,351
北海道,433 妹背牛町,116
北海道,434 秩父別町,85
北海道,436 雨竜町,120
北海道,437 北竜町,78
北海道,438 沼田町,135
北海道,452 鷹栖町,502
北海道,453 東神楽町,692
北海道,454 当麻町,330
北海道,455 比布町,155
北海道,456 愛別町,130
北海道,457 上川町,172
北海道,458 東川町,455
北海道,459 美瑛町,485
北海道,460 上富良野町,630
北海道,461 中富良野町,308
北海道,462 南富良野町,122
北海道,463 占冠村,48
北海道,464 和寒町,164
北海道,465 剣淵町,167
北海道,468 下川町,169
北海道,469 美深町,175
北海道,470 音威子府村,17
北海道,471 中川町,70
北海道,472 幌加内町,75
北海道,481 増毛町,202
北海道,482 小平町,136
北海道,483 苫前町,152
北海道,484 羽幌町,338
北海道,485 初山別村,51
北海道,486 遠別町,133
北海道,487 天塩町,156
北海道,511 猿払村,185
北海道,512 浜頓別町,203
北海道,513 中頓別町,77
北海道,514 枝幸町,469
北海道,516 豊富町,203
北海道,517 礼文町,120
北海道,518 利尻町,105
北海道,519 利尻富士町,138
北海道,520 幌延町,136
北海道,543 美幌町,"1,033"
北海道,544 津別町,187
北海道,545 斜里町,574
北海道,546 清里町,209
北海道,547 小清水町,241
北海道,549 訓子府町,264
北海道,550 置戸町,128
北海道,552 佐呂間町,257
北海道,555 遠軽町,"1,056"
北海道,559 湧別町,485
北海道,560 滝上町,99
北海道,561 興部町,201
北海道,562 西興部村,46
北海道,563 雄武町,215
北海道,564 大空町,397
北海道,571 豊浦町,202
北海道,575 壮瞥町,132
北海道,578 白老町,729
北海道,581 厚真町,213
北海道,584 洞爺湖町,395
北海道,585 安平町,397
北海道,586 むかわ町,386
北海道,601 日高町,651
北海道,602 平取町,259
北海道,604 新冠町,322
北海道,607 浦河町,662
北海道,608 様似町,209
北海道,609 えりも町,293
北海道,610 新ひだか町,"1,182"
北海道,631 音更町,"2,948"
北海道,632 士幌町,374
北海道,633 上士幌町,252
北海道,634 鹿追町,341
北海道,635 新得町,280
北海道,636 清水町,468
北海道,637 芽室町,"1,288"
北海道,638 中札内村,192
北海道,639 更別村,184
北海道,641 大樹町,274
北海道,642 広尾町,366
北海道,643 幕別町,"1,544"
北海道,644 池田町,315
北海道,645 豊頃町,163
北海道,646 本別町,340
北海道,647 足寄町,365
北海道,648 陸別町,92
北海道,649 浦幌町,206
北海道,661 釧路町,"1,085"
北海道,662 厚岸町,484
北海道,663 浜中町,354
北海道,664 標茶町,429
北海道,665 弟子屈町,365
北海道,667 鶴居村,153
北海道,668 白糠町,350
北海道,691 別海町,"1,011"
北海道,692 中標津町,"1,590"
北海道,693 標津町,325
北海道,694 羅臼町,309
青森県,201 青森市,"15,084"
青森県,202 弘前市,"8,699"
青森県,203 八戸市,"12,514"
青森県,204 黒石市,"1,769"
青森県,205 五所川原市,"2,863"
青森県,206 十和田市,"3,325"
青森県,207 三沢市,"2,498"
青森県,208 むつ市,"3,200"
青森県,209 つがる市,"1,632"
青森県,210 平川市,"1,591"
青森県,301 平内町,471
青森県,303 今別町,81
青森県,304 蓬田村,131
青森県,307 外ヶ浜町,219
青森県,321 鰺ヶ沢町,382
青森県,323 深浦町,345
青森県,343 西目屋村,47
青森県,361 藤崎町,779
青森県,362 大鰐町,410
青森県,367 田舎館村,364
青森県,381 板柳町,679
青森県,384 鶴田町,687
青森県,387 中泊町,468
青森県,401 野辺地町,652
青森県,402 七戸町,710
青森県,405 六戸町,549
青森県,406 横浜町,220
青森県,408 東北町,921
青森県,411 六ヶ所村,565
青森県,412 おいらせ町,"1,516"
青森県,423 大間町,303
青森県,424 東通村,317
青森県,425 風間浦村,89
青森県,426 佐井村,101
青森県,441 三戸町,477
青森県,442 五戸町,766
青森県,443 田子町,265
青森県,445 南部町,910
青森県,446 階上町,700
青森県,450 新郷村,95
岩手県,201 盛岡市,"15,870"
岩手県,202 宮古市,"2,664"
岩手県,203 大船渡市,"1,739"
岩手県,205 花巻市,"5,173"
岩手県,206 北上市,"5,517"
岩手県,207 久慈市,"1,976"
岩手県,208 遠野市,"1,346"
岩手県,209 一関市,"6,208"
岩手県,210 陸前高田市,933
岩手県,211 釜石市,"1,570"
岩手県,213 二戸市,"1,420"
岩手県,214 八幡平市,"1,163"
岩手県,215 奥州市,"6,269"
岩手県,301 雫石町,809
岩手県,302 葛巻町,219
岩手県,303 岩手町,681
岩手県,305 滝沢村,"3,289"
岩手県,321 紫波町,"1,898"
岩手県,322 矢巾町,"1,550"
岩手県,366 西和賀町,225
岩手県,381 金ケ崎町,897
岩手県,402 平泉町,392
岩手県,441 住田町,226
岩手県,461 大槌町,532
岩手県,482 山田町,773
岩手県,483 岩泉町,440
岩手県,484 田野畑村,161
岩手県,485 普代村,111
岩手県,501 軽米町,431
岩手県,503 野田村,193
岩手県,506 九戸村,294
岩手県,507 洋野町,821
岩手県,524 一戸町,538
宮城県,101 仙台市青葉区,"14,056"
宮城県,102 仙台市宮城野区,"9,503"
宮城県,103 仙台市若林区,"6,827"
宮城県,104 仙台市太白区,"11,990"
宮城県,105 仙台市泉区,"12,167"
宮城県,202 石巻市,"7,458"
宮城県,203 塩竈市,"2,557"
宮城県,205 気仙沼市,"3,137"
宮城県,206 白石市,"1,780"
宮城県,207 名取市,"4,608"
宮城県,208 角田市,"1,566"
宮城県,209 多賀城市,"3,567"
宮城県,211 岩沼市,"2,770"
宮城県,212 登米市,"4,266"
宮城県,213 栗原市,"3,326"
宮城県,214 東松島市,"2,338"
宮城県,215 大崎市,"7,316"
宮城県,301 蔵王町,623
宮城県,302 七ヶ宿町,55
宮城県,321 大河原町,"1,367"
宮城県,322 村田町,509
宮城県,323 柴田町,"2,023"
宮城県,324 川崎町,413
宮城県,341 丸森町,647
宮城県,361 亘理町,"1,831"
宮城県,362 山元町,554
宮城県,401 松島町,612
宮城県,404 七ヶ浜町,"1,109"
宮城県,406 利府町,"2,359"
宮城県,421 大和町,"1,569"
宮城県,422 大郷町,406
宮城県,423 富谷町,"4,184"
宮城県,424 大衡村,334
宮城県,444 色麻町,432
宮城県,445 加美町,"1,219"
宮城県,501 涌谷町,831
宮城県,505 美里町,"1,210"
宮城県,581 女川町,282
宮城県,606 南三陸町,646
秋田県,201 秋田市,"15,643"
秋田県,202 能代市,"2,567"
秋田県,203 横手市,"4,442"
秋田県,204 大館市,"3,479"
秋田県,206 男鹿市,"1,073"
秋田県,207 湯沢市,"2,087"
秋田県,209 鹿角市,"1,515"
秋田県,210 由利本荘市,"3,754"
秋田県,211 潟上市,"1,712"
秋田県,212 大仙市,"3,831"
秋田県,213 北秋田市,"1,315"
秋田県,214 にかほ市,"1,348"
秋田県,215 仙北市,"1,273"
秋田県,303 小坂町,244
秋田県,327 上小阿仁村,68
秋田県,346 藤里町,122
秋田県,348 三種町,685
秋田県,349 八峰町,297
秋田県,361 五城目町,342
秋田県,363 八郎潟町,287
秋田県,366 井川町,236
秋田県,368 大潟村,196
秋田県,434 美郷町,958
秋田県,463 羽後町,654
秋田県,464 東成瀬村,121
山形県,201 山形市,"13,715"
山形県,202 米沢市,"4,700"
山形県,203 鶴岡市,"6,755"
山形県,204 酒田市,"5,457"
山形県,205 新庄市,"2,103"
山形県,206 寒河江市,"2,393"
山形県,207 上山市,"1,500"
山形県,208 村山市,"1,256"
山形県,209 長井市,"1,413"
山形県,210 天童市,"3,360"
山形県,211 東根市,"2,800"
山形県,212 尾花沢市,863
