都道府県,市区町村,市区町村名（フル）,人数
北海道,札幌市中央区,,9726
北海道,札幌市北区,,14474
北海道,札幌市東区,,11687
北海道,札幌市白石区,,8559
北海道,札幌市豊平区,,9735
北海道,札幌市南区,,5676
北海道,札幌市西区,,10043
北海道,札幌市厚別区,,5031
北海道,札幌市手稲区,,7175
北海道,札幌市清田区,,5994
北海道,函館市,,9225
北海道,小樽市,,3684
北海道,旭川市,,13985
北海道,室蘭市,,2993
北海道,釧路市,,6088
北海道,帯広市,,7221
北海道,北見市,,4830
北海道,夕張市,,147
北海道,岩見沢市,,3171
北海道,網走市,,1393
北海道,留萌市,,678
北海道,苫小牧市,,8315
北海道,稚内市,,1313
北海道,美唄市,,573
北海道,芦別市,,326
北海道,江別市,,5821
北海道,赤平市,,249
北海道,紋別市,,758
北海道,士別市,,603
北海道,名寄市,,1130
北海道,三笠市,,247
北海道,根室市,,833
北海道,千歳市,,5265
北海道,滝川市,,1497
北海道,砂川市,,531
北海道,歌志内市,,－
北海道,深川市,,681
北海道,富良野市,,807
北海道,登別市,,1838
北海道,恵庭市,,3608
北海道,伊達市,,1290
北海道,北広島市,,2717
北海道,石狩市,,2860
北海道,北斗市,,2069
北海道,当別町,,215
北海道,新篠津村,,129
北海道,松前町,,137
北海道,福島町,,96
北海道,知内町,,131
北海道,木古内町,,92
北海道,七飯町,,1240
北海道,鹿部町,,125
北海道,森町,,516
北海道,八雲町,,587
北海道,長万部町,,163
北海道,江差町,,209
北海道,上ノ国町,,147
北海道,厚沢部町,,148
北海道,乙部町,,96
北海道,奥尻町,,68
北海道,今金町,,191
北海道,せたな町,,210
北海道,島牧村,,45
北海道,寿都町,,111
北海道,黒松内町,,123
北海道,蘭越町,,189
北海道,ニセコ町,,306
北海道,真狩村,,88
北海道,留寿都村,,82
北海道,喜茂別町,,63
北海道,京極町,,110
北海道,倶知安町,,813
北海道,共和町,,249
北海道,岩内町,,437
北海道,泊村,,47
北海道,神恵内村,,21
北海道,積丹町,,57
北海道,古平町,,77
北海道,仁木町,,125
北海道,余市町,,659
北海道,赤井川村,,51
北海道,南幌町,,307
北海道,奈井江町,,178
北海道,上砂川町,,73
北海道,由仁町,,189
北海道,長沼町,,465
北海道,栗山町,,432
北海道,月形町,,69
北海道,浦臼町,,65
北海道,新十津川町,,320
北海道,妹背牛町,,80
北海道,秩父別町,,98
北海道,雨竜町,,89
北海道,北竜町,,62
北海道,沼田町,,97
北海道,鷹栖町,,301
北海道,東神楽町,,654
北海道,当麻町,,278
北海道,比布町,,－
北海道,愛別町,,95
北海道,上川町,,95
北海道,東川町,,501
北海道,美瑛町,,388
北海道,上富良野町,,457
北海道,中富良野町,,201
北海道,南富良野町,,114
北海道,占冠村,,33
北海道,和寒町,,113
北海道,剣淵町,,96
北海道,下川町,,113
北海道,美深町,,129
北海道,音威子府村,,9
北海道,中川町,,61
北海道,幌加内町,,39
北海道,増毛町,,128
北海道,小平町,,110
北海道,苫前町,,108
北海道,羽幌町,,234
北海道,初山別村,,45
北海道,遠別町,,97
北海道,天塩町,,108
北海道,猿払村,,148
北海道,浜頓別町,,122
北海道,中頓別町,,57
北海道,枝幸町,,275
北海道,豊富町,,157
北海道,礼文町,,83
北海道,利尻町,,65
北海道,利尻富士町,,89
北海道,幌延町,,108
北海道,美幌町,,720
北海道,津別町,,151
北海道,斜里町,,489
北海道,清里町,,195
北海道,小清水町,,224
北海道,訓子府町,,228
北海道,置戸町,,115
北海道,佐呂間町,,176
北海道,遠軽町,,768
北海道,湧別町,,160
北海道,滝上町,,69
北海道,興部町,,182
北海道,西興部村,,30
北海道,雄武町,,171
北海道,大空町,,302
北海道,豊浦町,,195
北海道,壮瞥町,,91
北海道,白老町,,415
北海道,厚真町,,212
北海道,洞爺湖町,,254
北海道,安平町,,109
北海道,むかわ町,,281
北海道,日高町,,472
北海道,平取町,,207
北海道,新冠町,,252
北海道,浦河町,,439
北海道,様似町,,142
北海道,えりも町,,214
北海道,新ひだか町,,945
