都道府県,市区町村名,人数,団体コード
北海道,札幌市中央区,9664,11011
北海道,札幌市北区,14444,11029
北海道,札幌市東区,11587,11037
北海道,札幌市白石区,8404,11045
北海道,札幌市豊平区,9829,11053
北海道,札幌市南区,5658,11061
北海道,札幌市西区,10097,11070
北海道,札幌市厚別区,4897,11088
北海道,札幌市手稲区,7103,11096
北海道,札幌市清田区,5748,11100
北海道,函館市,8835,12025
北海道,小樽市,3550,12033
北海道,旭川市,13572,12041
北海道,室蘭市,2859,12050
北海道,釧路市,5708,12068
北海道,帯広市,6975,12076
北海道,北見市,4683,12084
北海道,夕張市,129,12092
北海道,岩見沢市,3041,12106
北海道,網走市,1316,12114
北海道,留萌市,642,12122
北海道,苫小牧市,8046,12131
北海道,稚内市,1268,12149
北海道,美唄市,551,12157
北海道,芦別市,293,12165
北海道,江別市,5842,12173
北海道,赤平市,219,12181
北海道,紋別市,705,12190
北海道,士別市,559,12203
北海道,名寄市,1098,12211
北海道,三笠市,248,12220
北海道,根室市,731,12238
北海道,千歳市,5146,12246
北海道,滝川市,1412,12254
北海道,砂川市,536,12262
北海道,歌志内市,－,12271
北海道,深川市,670,12289
北海道,富良野市,784,12297
北海道,登別市,1784,12301
北海道,恵庭市,3581,12319
北海道,伊達市,1223,12335
北海道,北広島市,2647,12343
北海道,石狩市,2849,12351
北海道,北斗市,1951,12360
北海道,当別町,212,13030
北海道,新篠津村,128,13048
北海道,松前町,123,13315
北海道,福島町,95,13323
北海道,知内町,120,13331
北海道,木古内町,81,13340
北海道,七飯町,1236,13374
北海道,鹿部町,115,13439
北海道,森町,468,13455
北海道,八雲町,552,13463
北海道,長万部町,149,13471
北海道,江差町,197,13617
北海道,上ノ国町,147,13625
北海道,厚沢部町,131,13633
北海道,乙部町,87,13641
北海道,奥尻町,70,13676
北海道,今金町,176,13706
北海道,せたな町,202,13714
北海道,島牧村,48,13919
北海道,寿都町,106,13927
北海道,黒松内町,105,13935
北海道,蘭越町,200,13943
北海道,ニセコ町,286,13951
北海道,真狩村,77,13960
北海道,留寿都村,80,13978
北海道,喜茂別町,62,13986
北海道,京極町,109,13994
北海道,倶知安町,755,14001
北海道,共和町,233,14010
北海道,岩内町,393,14028
北海道,泊村,44,14036
北海道,泊村,44,16969
北海道,神恵内村,20,14044
北海道,積丹町,56,14052
北海道,古平町,82,14061
北海道,仁木町,137,14079
北海道,余市町,659,14087
北海道,赤井川村,42,14095
北海道,南幌町,336,14231
北海道,奈井江町,179,14249
北海道,上砂川町,68,14257
北海道,由仁町,185,14273
北海道,長沼町,446,14281
北海道,栗山町,408,14290
北海道,月形町,80,14303
北海道,浦臼町,55,14311
北海道,新十津川町,336,14320
北海道,妹背牛町,71,14338
北海道,秩父別町,100,14346
北海道,雨竜町,84,14362
北海道,北竜町,61,14371
北海道,沼田町,98,14389
北海道,鷹栖町,298,14524
北海道,東神楽町,646,14532
北海道,当麻町,272,14541
北海道,比布町,－,14559
北海道,愛別町,89,14567
北海道,上川町,88,14575
北海道,東川町,518,14583
北海道,美瑛町,372,14591
北海道,上富良野町,442,14605
北海道,中富良野町,197,14613
北海道,南富良野町,114,14621
北海道,占冠村,30,14630
北海道,和寒町,109,14648
北海道,剣淵町,91,14656
北海道,下川町,114,14681
北海道,美深町,124,14699
北海道,音威子府村,11,14702
北海道,中川町,55,14711
北海道,幌加内町,42,14729
北海道,増毛町,118,14818
北海道,小平町,105,14826
北海道,苫前町,106,14834
北海道,羽幌町,202,14842
北海道,初山別村,44,14851
北海道,遠別町,93,14869
北海道,天塩町,106,14877
北海道,猿払村,148,15113
北海道,浜頓別町,121,15121
北海道,中頓別町,54,15130
北海道,枝幸町,259,15148
北海道,豊富町,139,15164
北海道,礼文町,80,15172
北海道,利尻町,71,15181
北海道,利尻富士町,85,15199
北海道,幌延町,102,15202
北海道,美幌町,671,15431
北海道,津別町,153,15440
北海道,斜里町,437,15458
北海道,清里町,182,15466
北海道,小清水町,216,15474
北海道,訓子府町,224,15491
北海道,置戸町,110,15504
北海道,佐呂間町,149,15521
北海道,遠軽町,712,15555
北海道,湧別町,160,15598
北海道,滝上町,73,15601
北海道,興部町,178,15610
北海道,西興部村,34,15628
北海道,雄武町,159,15636
北海道,大空町,295,15644
北海道,豊浦町,189,15717
北海道,壮瞥町,85,15750
北海道,白老町,414,15784
北海道,厚真町,219,15814
北海道,洞爺湖町,258,15849
